Location,Cu,Zn,Mn,Fe,Cd,Pb,Ni,Latitude,Longitude,Spatial_Factor,Season,TDS,EC,pH,HPI,HEI,MI,Safety_Category
Location_1,0.0397,0.4844,0.167,0.2881,0.0012,0.001,0.001,9.15744,78.562233,0.3313295125594985,Pre-Monsoon,1439.1,2126.8,7.35,33.30078744866988,3.316913333333333,3.316913333333333,Moderate
Location_2,0.0232,0.9016,0.0914,0.1876,0.0009,0.001,0.001,9.361543,78.450458,0.0606330956855922,Pre-Monsoon,863.4,1210.6,7.82,24.862823067309407,2.192853333333333,2.192853333333333,Safe
Location_3,0.012,2.8156,0.2034,0.2214,0.0012,0.001,0.001,9.210655,78.394149,0.3754530145202854,Pre-Monsoon,1363.6,2156.0,7.5,33.89621531869309,3.8971199999999997,3.8971199999999997,Moderate
Location_4,0.0313,0.8723,0.0907,0.2029,0.001,0.001,0.001,9.116343,78.41908,0.1781399736635835,Pre-Monsoon,801.2,1136.3,7.37,27.116044634886627,2.2724266666666666,2.2724266666666666,Safe
Location_5,0.0332,1.3016,0.0965,0.1644,0.0008,0.001,0.001,9.296103,78.608765,0.1044846914595434,Pre-Monsoon,604.9,885.5,7.49,22.6869616139975,2.2231866666666664,2.2231866666666664,Safe
Location_6,0.025,1.4,0.09,0.15,0.0009,0.001,0.001,9.212,78.478,0.9999999992849294,Pre-Monsoon,1088.2,1730.3,7.19,24.75515532940546,2.155,2.155,Safe
Location_7,0.0337,0.9553,0.1291,0.2479,0.0009,0.001,0.001,9.387569,78.560523,0.0106531526595883,Pre-Monsoon,1096.1,1742.9,7.43,25.757168541331904,2.7920933333333333,2.7920933333333333,Safe
Location_8,0.0238,3.0518,0.1264,0.1578,0.0009,0.001,0.001,9.327677,78.375542,0.031695499185604,Pre-Monsoon,1100.1,1666.3,7.36,25.516712372790575,2.87416,2.87416,Safe
Location_9,0.0247,2.9659,0.0716,0.2238,0.0009,0.001,0.001,9.081573,78.390392,0.0152618037410401,Pre-Monsoon,1040.3,1587.9,7.53,24.562801821103374,2.52988,2.52988,Safe
Location_10,0.0219,0.7314,0.1027,0.1817,0.001,0.001,0.001,9.177661,78.328315,0.0192024156520593,Pre-Monsoon,767.4,1143.2,7.21,27.306739957150512,2.28418,2.28418,Safe
Location_11,0.0061,1.2505,0.1297,0.2272,0.0008,0.001,0.001,9.360021,78.51431,0.0842012439926137,Pre-Monsoon,926.6,1351.6,7.6,23.488106588109265,2.7272,2.7272,Safe
Location_12,0.0114,0.8274,0.0935,0.1637,0.0008,0.001,0.001,9.391746,78.46287,0.0109837559123936,Pre-Monsoon,461.8,676.9,7.9,22.616953758257452,2.0742133333333332,2.0742133333333332,Safe
Location_13,0.0066,0.7957,0.2363,0.4133,0.0015,0.001,0.001,9.248513,78.448548,0.7413524871087978,Pre-Monsoon,1906.0,2924.8,7.07,41.66322647741474,4.556406666666667,4.556406666666667,Moderate
Location_14,0.0284,0.2692,0.141,0.2824,0.0011,0.001,0.001,9.240681,78.575015,0.3739709296313281,Pre-Monsoon,1419.1,2200.3,7.42,30.530095340117835,2.95024,2.95024,Moderate
